Country;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Ukraine;89.763;89.948;88.781;88.240;87.935;88.305;90.767;92.874;93.878;94.261;92.758
South Korea;98.43;99.685;99.673;99.693;99.769;99.592;99.162;98.906;97.325;94.451;94.672
